site_name,site_id,ccamlr region,longitude_EPSG4326,latitude_EPSG4326,common_name,day,month,year,season_starting,count,accuracy,count_type,vantage,reference,notes
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,Unknown,Unknown,1961,1961,1500,3,adults,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,Unknown,Unknown,1983,1983,2339,2,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,Unknown,Unknown,1987,1987,9000,3,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,13,10,2009,2009,6831,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Amundsen Bay,AMUN,58.4.2,50.55,-66.78,emperor penguin,20,10,2009,2009,88,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Astrid,ASTD,48.6,8.31,-69.95,emperor penguin,11,11,2009,2009,1368,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Atka,ATKA,48.6,-8.13,-70.61,emperor penguin,Unknown,Unknown,1986,1986,8000,5,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Atka,ATKA,48.6,-8.13,-70.61,emperor penguin,8,9,2009,2009,9657,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Auster Islands,AUST,58.4.2,63.98,-67.39,emperor penguin,Unknown,Unknown,1978,1978,11000,3,adults,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Auster Islands,AUST,58.4.2,63.98,-67.39,emperor penguin,Unknown,Unknown,1988,1988,11000,4,adults,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
